星空卫视[768*576][768*576],rtmp://ivi.bupt.edu.cn:1935/livetv/startv
NewTV超级体育[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8

NewTV东北热剧[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8

黑莓移动,#genre#

熊猫频道 3.5M1080[785*576][785*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226349/index.m3u8

精彩电视剧 10M1080[1920*1080][1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8

精彩电影 10M1080[1920*1080][1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226011/index.m3u8

精彩综艺 10M1080[1920*1080][1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226009/index.m3u8

精彩体育 10M1080[1920*1080][1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226010/index.m3u8

轮播电影,#genre#

英叔电影[1280*720][1280*720],https://tx.liveplay.live.kugou.com/live/fx_hifi_1308614369_avc.m3u8

美食李子柒[1280*720][1280*720],http://hls-ott-zhibo.wasu.tv/live/443/index.m3u8

娱乐[1280*720][1280*720],http://125.210.152.21:9120/live/GQYL.m3u8

CHC家庭影院 8M1080[1920*1080][1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8

CHC电影 8M1080[1920*1080][1920*1080],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8

-=Uploaded by TEDiPTV ʕ•͡ᴥ•ʔ =-

CCTV-1综合[1920*1080][1920*1080],http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8

CCTV-2财经[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv2.m3u8

CCTV-3综艺[1920*1080][1920*1080],http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8

CCTV-4国际[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv4.m3u8

﻿CCTV-5+体育赛事[1920*1080][1920*1080],http://ivi.bupt.edu.cn/hls/cctv5phd.m3u8

CCTV-6高清[1920*1080][1920*1080],http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8

CCTV-7国防军事[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv7.m3u8

CCTV-8电视剧[1920*1080][1920*1080],http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8

CCTV-9纪录[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv9.m3u8

CCTV-10科教[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv10.m3u8

CCTV-11戏曲[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv11.m3u8

CCTV-12社会与法[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv12.m3u8

CCTV-13新闻[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv13.m3u8

CCTV-14少儿[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv14.m3u8

CCTV-15音乐[768*576][768*576],http://ivi.bupt.edu.cn/hls/cctv15.m3u8

﻿CCTV-17农业农村[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225908/index.m3u8

天津卫视[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8

河北卫视[1047*576][1047*576],http://223.110.245.149/ott.js.chinamobile.com/PLTV/3/224/3221225840/index.m3u8

东方卫视[1920*1080][1920*1080],http://39.135.138.59:18890/PLTV/88888910/224/3221225659/index.m3u8

浙江卫视[1920*1080][1920*1080],http://223.110.243.173/PLTV/3/224/3221227215/index.m3u8

东南卫视[1920*1080][1920*1080],http://117.169.124.37:6610/ysten-businessmobile/live/dongnanstv/yst.m3u8

湖北卫视[1920*1080][1920*1080],http://223.110.243.171/PLTV/3/224/3221227211/index.m3u8

安徽卫视[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225675/index.m3u8

广东卫视[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225667/index.m3u8

深圳卫视[1920*1080][1920*1080],http://39.134.115.163:8080/PLTV/88888910/224/3221225741/index.m3u8

辽宁卫视[1920*1080][1920*1080],http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8

龙江卫视[1920*1080][1920*1080],http://39.134.116.30:8080/PLTV/88888910/224/3221225690/index.m3u8

河南卫视[1047*576][1047*576],http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221225815/index.m3u8

重庆卫视[1920*1080][1920*1080],http://ivi.bupt.edu.cn/hls/cqhd.m3u8

宁夏卫视[1047*576][1047*576],http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221225842/index.m3u8

新疆卫视[768*576][768*576],http://39.134.115.163:8080/PLTV/88888910/224/3221225725/index.m3u8

西藏卫视[785*576][785*576],http://39.134.115.163:8080/PLTV/88888910/224/3221225723/index.m3u8

内蒙卫视[1047*576][1047*576],http://223.110.245.161/ott.js.chinamobile.com/PLTV/3/224/3221225836/index.m3u8

南方卫视[1047*576][1047*576],http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227005/index.m3u8

四川卫视[768*576][768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225733/index.m3u8

贵州卫视[768*576][768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225728/index.m3u8

陕西卫视[768*576][768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225729/index.m3u8

甘肃卫视[768*576][768*576],http://39.135.138.59:18890/PLTV/88888910/224/3221225724/index.m3u8

NewTV中国功夫[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8

NewTV健康有约[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225571/index.m3u8

NewTV军事评论[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8

NewTV军旅剧场[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8

NewTV古装剧场[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8

NewTV家庭剧场[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8

NewTV家庭剧场[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225682/index.m3u8

NewTV农业致富[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8

NewTV搏击[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225547/index.m3u8

NewTV潮妈辣婆[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8

NewTV炫舞未来[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8

NewTV精品体育[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8

NewTV精品大剧[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8

NewTV精品纪录[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8

NewTV超级电视剧[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8

NewTV超级综艺[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8

NewTV金牌综艺[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8

黑莓电影[1920*1080][1920*1080],http://183.207.249.14/PLTV/3/224/3221225567/index.m3u8

CHC动作电影[640*360][640*360],http://125.210.152.18:9090/live/DZDYHD_H265.m3u8

CHC家庭影院[640*360][640*360],http://125.210.152.18:9090/live/JTYYHD_H265.m3u8

